Model,Giá tiêu chuẩn,ID,Phong Vũ,Nguyễn Kim,Điện máy xanh,FPT Shop,Pico,Mediamart,HC,Phúc Anh,CPN,An Phát,Hà Nội Computer
DCP-L3551CDW,9900000,17,https://phongvu.vn/may-in-laser-mau-brother-dcp-l3551cdw-s1810525.html,https://www.nguyenkim.com/may-in-brother-mau-da-nang-dcp-l3551cdw.html,,https://fptshop.com.vn/may-in/may-in-da-chuc-nang-brother-laser-dcp-b7535dw,https://pico.vn/40874/may-in-da-chuc-nang-brother-dcpl3551cdw.html,https://mediamart.vn/may-in/brother/may-in-laser-mau-brother-dcpl3551cdw-inscancopyduplexwifi.htm,,https://www.phucanh.vn/may-in-laser-mau-brother-dcp-l3551cdw-print/-copy/-scan/wifi.html,https://cpn.vn/products/may-in-laser-mau-da-nang-brother-dcp-l3551cdw.html,https://www.anphatpc.com.vn/may-in-brother-brother-dcp-l3551cdw-in-laser-mau-da-nang-khong-fax_id27530.html,https://www.hanoicomputer.vn/may-in-brother-dcp-l3551cdw-in-laser-mau-da-nang
MFC-L3750CDW,13000000,18,https://phongvu.vn/may-in-laser-mau-brother-mfc-l3750cdw-s1810526.html,,,,,https://mediamart.vn/may-in/brother/may-in-laser-mau-brother-mfcl3750cdwinfaxcopyscanwireless.htm,,https://www.phucanh.vn/may-in-laser-mau-brother-da-chuc-nang-mfc-l3750cdw-da-chuc-nang-flatbed-in-laser-mau/fax-mau/photocopy-mau/scan-mau-amp-pc-fax.html,,https://www.anphatpc.com.vn/may-in-brother-mfc-l3750cdw-in-laser-mau-da-nang_id27529.html,https://www.hanoicomputer.vn/may-in-brother-mfc-l3750cdw-in-laser-mau-da-nang
DCP-T310,4100000,19,https://phongvu.vn/may-in-brother-dcp-t310-s1805206.html,https://www.nguyenkim.com/may-in-phun-da-chuc-nang-brother-dcp-t310.html,https://www.dienmayxanh.com/may-in/may-in-phun-mau-da-nang-brother-dcp-t310,,https://pico.vn/37882/may-in-da-chuc-nang-dcpt310.html,https://mediamart.vn/may-in/brother/may-in-phun-mau-brother-dcpt310-inscancopy.htm,https://hc.com.vn/ords/p--may-in-dcn-brother-dcp-t310-in-phun-copy-scan,https://www.phucanh.vn/may-in-phun-mau-brother-dcp-t310-in-mauphoto-mau-scan-mau.html,https://cpn.vn/products/may-in-phun-mau-da-nang-brother-dcp-t310.html,https://www.anphatpc.com.vn/may-in-brother-dcp-t310-in-phun-mau-da-nang_id26461.html,https://www.hanoicomputer.vn/May-In-Brother-DCP-T310-In-Phun-Mau-da-Chuc-Nang
DCP-T510W,4700000,20,https://phongvu.vn/may-in-brother-dcp-t510w-s1805204.html,https://www.nguyenkim.com/may-in-phun-da-chuc-nang-brother-dcp-t510w.html,https://www.dienmayxanh.com/may-in/may-in-phun-mau-da-nang-brother-dcp-t510w-wifi,,https://pico.vn/37837/may-in-da-chuc-nang-dcpt510w.html,https://mediamart.vn/may-in/brother/may-in-phun-mau-brother-dcpt510w-inscancopywifi.htm,https://hc.com.vn/ords/p--may-in-dcn-brother-dcp-t510w-in-phun-copy-scan-wifi,https://www.phucanh.vn/ma-y-in-phun-ma-u-brother-dcp-t510w-in-mau-photo-mau-scan-mau-wifi.html,https://cpn.vn/products/may-in-phun-mau-da-nang-brother-dcp-t510w--%28in-mau%7B47%7Dscan%7B47%7Dcopy.html,https://www.anphatpc.com.vn/may-in-brother-dcp-t510w-in-phun-mau-da-nang_id26462.html,https://www.hanoicomputer.vn/may-in-da-chuc-nang-brother-dcp-t510w-in-phun-mau
DCP-T710W,5100000,21,https://phongvu.vn/may-in-brother-dcp-t710w-s1805207.html,https://www.nguyenkim.com/may-in-phun-da-chuc-nang-brother-dcp-t710w.html,https://www.dienmayxanh.com/may-in/may-in-da-nang-phun-mau-brother-inkjet-dcp-t710w-w,,https://pico.vn/37594/may-in-da-chuc-nang-dcpt710w.html,https://mediamart.vn/may-in/brother/may-in-phun-mau-brother-dcpt710w-inscancopywifiadf.htm,https://hc.com.vn/ords/p--may-in-dcn-brother-dcp-t710w-in-phun-copy-scan-adf-wifi,https://www.phucanh.vn/may-in-phun-mau-brother-dcp-t710w-in-mauphoto-mau-scan-mau.html,https://cpn.vn/products/may-in-phun-mau-da-nang-brother-dcp-t710w--%28in-mau%7B47%7Dscan%7B47%7Dcopy.html,https://www.anphatpc.com.vn/may-in-brother-dcp-t710w-in-phun-mau-da-nang_id26463.html,https://www.hanoicomputer.vn/may-in-brother-dcp-t710w-in-phun-mau-da-chuc-nang-in-mauphoto-mau-scan-mau-wifi
MFC-T810W,6100000,22,https://phongvu.vn/may-in-brother-mfc-t810w-s1805205.html,https://www.nguyenkim.com/may-in-phun-da-chuc-nang-brother-mfc-t810w.html,,,https://pico.vn/37595/may-in-da-chuc-nang-mfct810w.html,https://mediamart.vn/may-in/brother/may-in-phun-mau-brother-mfct810w-inscancopyfaxwifi.htm,,https://www.phucanh.vn/may-in-phun-mau-brother-mfc-t810w-in-mauphoto-mau-scan-maufax.html,https://cpn.vn/products/may-in-phun-mau-da-nang-brother-mfc-t810w--%28in-mau%7B47%7Dscan%7B47%7Dcopy.html,https://www.anphatpc.com.vn/may-in-brother-mfc-t810w-in-phun-mau-da-nang-co-fax_id27525.html,https://www.hanoicomputer.vn/may-in-brother-mfc-t810w-in-phun-mau-da-chuc-nang
MFC-T910DW,7500000,23,https://phongvu.vn/may-in-brother-mfc-t910dw-s1807454.html,https://www.nguyenkim.com/may-in-da-chuc-nang-brother-mfc-t910dw.html,,,https://pico.vn/38230/may-in-da-chuc-nang-mfct910dw.html,https://mediamart.vn/may-in/brother/may-in-phun-mau-brother-mfct910dw-inscancopyfaxwifi.htm,,https://www.phucanh.vn/may-in-phun-mau-brother-mfc-t910dw-in-mauphoto-mau-scan-maufaxnetworkwifi.html,https://cpn.vn/products/may-in-phun-mau-da-nang-brother-mfc-t910dw--%28in-mau%7B47%7Dscan%7B47%7Dcop.html,https://www.anphatpc.com.vn/may-in-brother-mfc-t910dw-in-phun-da-nang_id26464.html,https://www.hanoicomputer.vn/may-in-brother-mfc-t910dw-in-phun-mau-da-nang
DCP-T220,3600000,24,,,,https://fptshop.com.vn/may-in/may-in-phun-da-nang-brother-dcp-t220,,,,https://www.phucanh.vn/may-in-phun-mau-da-nang-brother-dcp-t220-in-copy-scan.html,,,https://www.hanoicomputer.vn/may-in-brother-dcp-t220-in-phun-mau-da-chuc-nang
DCP-T520W,4900000,25,,,,,,,,https://www.phucanh.vn/may-in-phun-mau-da-nang-brother-dcp-t520w-in-copy-scan.html,,,https://www.hanoicomputer.vn/may-in-brother-dcp-t520w-in-phun-mau-da-chuc-nang
DCP-T720DW,5700000,26,,,,https://fptshop.com.vn/may-in/may-in-phun-da-nang-brother-dcp-t720dw,,,,https://www.phucanh.vn/may-in-phun-mau-da-nang-brother-dcp-t720dw-in-copy-scan.html,,,https://www.hanoicomputer.vn/may-in-brother-dcp-t720dw-in-phun-mau-da-chuc-nang
DCP-T820DW,6100000,27,,,,,,,,https://www.phucanh.vn/may-in-phun-mau-da-nang-brother-dcp-t820dw-in-copy-scan.html,,,https://www.hanoicomputer.vn/may-in-brother-dcp-t820dw-in-phun-mau-da-chuc-nang
MFC-T920DW,7900000,28,,,,https://fptshop.com.vn/may-in/may-in-phun-da-nang-brother-mfc-t920dw,,,,https://www.phucanh.vn/may-in-phun-mau-da-nang-brother-mfc-t920dw-in-copy-scan-fax.html,,,https://www.hanoicomputer.vn/may-in-brother-mfc-t920dw-in-phun-mau-da-chuc-nang
HL-T4000DW,12000000,29,https://phongvu.vn/may-in-brother-hl-t4000dw-s1810379.html,https://www.nguyenkim.com/may-in-phun-brother-hl-t4000dw.html,,,https://pico.vn/38272/may-in-phun-mau-don-nang-a3.html,https://mediamart.vn/may-in/brother/may-in-phun-brother-hlt4000dw-induplexwifi-in-a3.htm,,https://www.phucanh.vn/may-in-phun-mau-brother-hl-t4000dw-in-phun-mau-don-nang-a3.html,https://cpn.vn/products/may-in-phun-mau-don-nang-hl-t4000dw---a3%3B-22ipm%3B-dao-mat%2C-wi.html,https://www.anphatpc.com.vn/may-in-brother-hl-t4000dw-in-phun-mau-a3_id26460.html,https://www.hanoicomputer.vn/may-in-brother-hl-t4000dw-in-phun-mau-a3
MFC-T4500DW,15000000,30,https://phongvu.vn/may-in-brother-mfc-t4500dw-s1810380.html,,,,https://pico.vn/38236/may-in-da-chuc-nang-flatbed-in-a3-maufax-mau-photo-mau-scan-mau-in-anh-truc-tiep-tu-usb.html,https://mediamart.vn/may-in/brother/may-in-phun-brother-mfct4500dw-inscancopyfaxduplexwifi-in-a3.htm,,https://www.phucanh.vn/may-in-phun-mau-brother-da-chuc-nang-mfc-t4500dw-a3-da-chuc-nang-flatbed-in-a3-maufax-mau-photo-mau-scan-mau-in-anh-truc-tiep-tu-usb.html,https://cpn.vn/products/may-in-phun-mau-da-chuc-nang-brother-mfc-t4500dw.html,https://www.anphatpc.com.vn/may-in-brother-mfc-t4500dw-in-phun-da-nang_id26465.html,https://www.hanoicomputer.vn/may-in-brother-mfc-t4500dw-in-phun-mau-da-nang-a3
FAX-2840,4500000,31,https://phongvu.vn/may-fax-brother-2840-s1300377.html,,,,,https://mediamart.vn/may-fax/brother/may-fax-brother-fax2840-fax-inphotocopy.htm,,,,,
DS-620,5000000,32,https://phongvu.vn/may-scanner-brother-ds-620-s1808030.html,https://www.nguyenkim.com/may-quet-brother-ds-620.html,,,,,,,,https://www.anphatpc.com.vn/may-scan-brother-ds-620_id21510.html,https://www.hanoicomputer.vn/may-quet-brother-ds-620
DS-720D,6500000,33,https://phongvu.vn/may-scanner-brother-ds-720d-s1808031.html,,,,,,,https://www.phucanh.vn/may-scan-brother-ds-720d.html,,https://www.anphatpc.com.vn/may-scan-brother-ds-720d_id32201.html,https://www.hanoicomputer.vn/may-quet-brother-ds-720d
DS-640,4699000,34,,,,,,,,,,,https://www.hanoicomputer.vn/may-quet-brother-ds-640
DS-740D,5999000,35,,,,,,,,,,,https://www.hanoicomputer.vn/may-quet-brother-ds-740d
ADS-1200,10600000,36,https://phongvu.vn/may-scan-brother-ads-1200-s19020123.html,,,,,,,,,https://www.anphatpc.com.vn/may-scan-brother-ads-1200_id32193.html,https://www.hanoicomputer.vn/may-quet-brother-ads-1200
ADS-1700W,17000000,37,https://phongvu.vn/may-scan-nho-gon-brother-ads1700w-s200400637.html,,,,,,,,,,https://www.hanoicomputer.vn/may-quet-brother-ads-1700w
ADS-2200,11900000,38,https://phongvu.vn/may-scanner-brother-ads-2200-s1808033.html,,,,,,,https://www.phucanh.vn/may-scan-chuyen-dung-brother-ads-2200.html,,https://www.anphatpc.com.vn/may-scan-brother-ads-2200_id32196.html,https://www.hanoicomputer.vn/may-quet-brother-ads-2200
ADS-2400N,17000000,39,,,,,,,,https://www.phucanh.vn/may-scan-brother-ads-2400n.html,,https://www.anphatpc.com.vn/may-scan-brother-ads-2400n_id32197.html,https://www.hanoicomputer.vn/may-quet-brother-ads-2400n
ADS-2800W,25900000,40,,,,,,,,https://www.phucanh.vn/may-scan-brother-ads-2800w.html,,https://www.anphatpc.com.vn/may-scan-brother-ads-2800w_id32198.html,https://www.hanoicomputer.vn/may-quet-brother-ads-2800w
ADS-3000N,31400000,41,,,,,,,,https://www.phucanh.vn/may-scan-brother-ads-3000n.html,,https://www.anphatpc.com.vn/may-scan-brother-ads-3000n_id32199.html,https://www.hanoicomputer.vn/may-quet-brother-ads-3000n
ADS-3600W,36500000,42,,,,,,,,https://www.phucanh.vn/may-scan-brother-ads-3600w.html,,https://www.anphatpc.com.vn/may-scan-brother-ads-3600w_id32200.html,https://www.hanoicomputer.vn/may-quet-brother-ads-3600w
PT-D210,2000000,43,https://phongvu.vn/may-in-nhan-brother-ptd210-s191006424.html,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-pt-d210_id29597.html,
PT-D450,3850000,44,https://phongvu.vn/may-in-nhan-brother-ptd450-s191006425.html,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-pt-d450_id29598.html,https://www.hanoicomputer.vn/may-in-nhan-brother-pt-d450
PT-D600,4900000,45,https://phongvu.vn/may-in-nh-n-brother-pt-d600-s1601594.html,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-pt-d600_id29599.html,https://www.hanoicomputer.vn/may-in-nhan-brother-pt-d600
PT-E110,990000,46,https://phongvu.vn/may-in-nhan-brother-pte110-s191006427.html,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-pt-e110_id29600.html,https://www.hanoicomputer.vn/may-in-nhan-brother-pt-e110
PT-E300VP,5590000,47,,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-pt-e300vp_id29601.html,https://www.hanoicomputer.vn/may-in-nhan-brother-pt-e300vp
PT-E500VP,9690000,48,,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-pt-e500vp_id29602.html,
PT-E550WVP,11490000,49,,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-pt-e550w-vp_id29603.html,https://www.hanoicomputer.vn/may-in-nhan-brother-pt-e550wvp
PT-E800T,16990000,50,,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-pt-e800t_id29385.html,
PT-E850TKW,22990000,51,,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-pt-e850tkw_id29607.html,
PT-P750W,6890000,52,,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-ptp-750w_id29604.html,https://www.hanoicomputer.vn/may-in-nhan-brother-pt-p750w
PT-P900W,9500000,53,https://phongvu.vn/may-in-nhan-brother-ptp900w-s200200078.html,,,,,,,https://www.phucanh.vn/may-in-ma-vach-tem-nhan-wifi-brother-pt-p900w.html,,https://www.anphatpc.com.vn/may-in-nhan-brother-ptp-900w_id29605.html,https://www.hanoicomputer.vn/may-in-nhan-brother-pt-p900w
PT-P950NW,17990000,54,,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-ptp-950nw_id32181.html,https://www.hanoicomputer.vn/may-in-nhan-brother-pt-p950nw
QL-700,5300000,55,https://phongvu.vn/may-in-nhan-brother-ptouch-ql700-s200400636.html,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-ql-700_id32182.html,
QL-800,5750000,56,https://phongvu.vn/may-in-nhan-brother-ql800-s191006426.html,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-ql-800_id32183.html,https://www.hanoicomputer.vn/may-in-nhan-brother-ql-800
QL-810W,7400000,57,https://phongvu.vn/may-in-nhan-brother-ql810w-s191100520.html,,,,,,,https://www.phucanh.vn/may-in-ma-vach-tem-nhan-brother-ql-810w.html,,https://www.anphatpc.com.vn/may-in-nhan-brother-ql-810w_id32184.html,https://www.hanoicomputer.vn/may-in-nhan-brother-ql-810w
QL-820NWB,9990000,58,,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-ql-820nwb_id32185.html,https://www.hanoicomputer.vn/may-in-nhan-brother-ql-820nwb
QL-1100,9990000,59,,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-ql-1100_id32186.html,
QL-1110NWB,14990000,60,,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-ql-1110nwb_id32187.html,
TD-2020,5500000,61,,,,,,,,https://www.phucanh.vn/may-in-ma-vach-tem-nhan-brother-td-2020.html,,https://www.anphatpc.com.vn/may-in-nhan-brother-td-2020-in-nhan-va-hoa-don_id19021.html,https://www.hanoicomputer.vn/may-in-nhan-brother-td-2020
TD-2130N,8500000,62,,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-td-2130n_id32188.html,https://www.hanoicomputer.vn/may-in-nhan-brother-td-2130n
TD-4000,11990000,63,,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-td-4000_id32189.html,https://www.hanoicomputer.vn/may-in-nhan-brother-td-4000
PJ-722,14990000,64,,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-pj-722_id32190.html,https://www.hanoicomputer.vn/may-in-nhan-brother-pj-722
PJ-773,19990000,65,,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-pj-773_id32191.html,
RJ-3050,11290000,66,,,,,,,,,,https://www.anphatpc.com.vn/may-in-nhan-brother-rj-3050_id32192.html,
JA1400,3400000,67,,https://www.nguyenkim.com/may-may-brother-ja1400.html,,,,,,,,,
AS2730S,5100000,68,,https://www.nguyenkim.com/may-may-brother-as2730s.html,,,,,,,,,
GS2500,4300000,69,,https://www.nguyenkim.com/may-may-brother-gs2500.html,,,,,,,,,
GS2700,5100000,70,,https://www.nguyenkim.com/may-may-brother-gs2700.html,,,,,,,,,
FS60X,7900000,71,,https://www.nguyenkim.com/may-may-brother-fs60x.html,,,,,,,,,
